sample,along_scan,along_track,scan_angle,pix_area
0,0.795616,0.783234,56.06,0.623153502
1,0.79469,0.782908,56.0511,0.622169159
2,0.793765,0.782583,56.0422,0.621186995
3,0.792842,0.782258,56.0333,0.620206997
4,0.791921,0.781933,56.0244,0.619229163
5,0.791003,0.78161,56.0155,0.618255855
6,0.790088,0.781286,56.0066,0.617284693
7,0.789173,0.780963,55.9978,0.616314914
8,0.788261,0.78064,55.9889,0.615348067
9,0.787351,0.780318,55.98,0.614384158
10,0.786443,0.779996,55.9711,0.613422394
11,0.785538,0.779674,55.9622,0.612463555
12,0.784635,0.779353,55.9533,0.611507641
13,0.783733,0.779032,55.9444,0.610553086
14,0.782834,0.778712,55.9355,0.60960223
15,0.781937,0.778392,55.9266,0.608653505
16,0.781042,0.778072,55.9177,0.607706911
17,0.780149,0.777754,55.9088,0.606764005
18,0.779257,0.777434,55.8999,0.605820887
19,0.778369,0.777116,55.891,0.604883004
20,0.777481,0.776798,55.8821,0.603945686
21,0.776597,0.776481,55.8733,0.603012815
22,0.775714,0.776164,55.8644,0.602081281
23,0.774833,0.775847,55.8555,0.601151859
24,0.773954,0.77553,55.8466,0.600224546
25,0.773077,0.775214,55.8377,0.599300113
26,0.772203,0.774899,55.8288,0.598379332
27,0.771329,0.774584,55.8199,0.597459102
28,0.770458,0.774269,55.811,0.596541745
29,0.76959,0.773954,55.8021,0.595627259
30,0.768723,0.77364,55.7932,0.594714862
31,0.767858,0.773327,55.7843,0.593805324
32,0.766995,0.773013,55.7754,0.592897106
33,0.766134,0.772701,55.7665,0.591992508
34,0.765275,0.772388,55.7576,0.591089227
35,0.764417,0.772076,55.7488,0.59018802
36,0.763562,0.771764,55.7399,0.589289663
37,0.76271,0.771453,55.731,0.588394918
38,0.761857,0.771142,55.7221,0.587499931
39,0.761008,0.770831,55.7132,0.586608558
40,0.76016,0.770521,55.7043,0.585719243
41,0.759315,0.770211,55.6954,0.584832765
42,0.758471,0.769902,55.6865,0.58394834
43,0.757629,0.769592,55.6776,0.583065217
44,0.756789,0.769284,55.6687,0.582185669
45,0.755951,0.768976,55.6598,0.581308176
46,0.755115,0.768668,55.6509,0.580432737
47,0.754281,0.76836,55.642,0.579559349
48,0.753448,0.768053,55.6332,0.578687997
49,0.752617,0.767746,55.6243,0.577818691
50,0.751788,0.767439,55.6154,0.576951431
51,0.750961,0.767134,55.6065,0.576087716
52,0.750135,0.766827,55.5976,0.575223772
53,0.749312,0.766522,55.5887,0.574364133
54,0.748491,0.766218,55.5798,0.573507277
55,0.747671,0.765913,55.5709,0.572650939
56,0.746853,0.765609,55.562,0.571797378
57,0.746037,0.765305,55.5531,0.570945846
58,0.745223,0.765001,55.5442,0.57009634
59,0.74441,0.764698,55.5353,0.569248838
60,0.743599,0.764395,55.5264,0.568403358
61,0.74279,0.764093,55.5175,0.567560639
62,0.741982,0.76379,55.5087,0.566718432
63,0.741177,0.763489,55.4998,0.565880487
64,0.740373,0.763188,55.4909,0.565043789
65,0.73957,0.762886,55.482,0.564207599
66,0.73877,0.762586,55.4731,0.563375659
67,0.737972,0.762285,55.4642,0.562544986
68,0.737175,0.761986,55.4553,0.56171703
69,0.73638,0.761686,55.4464,0.560890337
70,0.735587,0.761387,55.4375,0.560066379
71,0.734795,0.761088,55.4286,0.559243657
72,0.734005,0.760789,55.4197,0.55842293
73,0.733217,0.760491,55.4108,0.55760493
74,0.73243,0.760194,55.4019,0.556788891
75,0.731645,0.759896,55.393,0.555974109
76,0.730862,0.759599,55.3842,0.555162044
77,0.73008,0.759302,55.3753,0.554351204
78,0.729301,0.759006,55.3664,0.553543835
79,0.728522,0.758709,55.3575,0.552736198
80,0.727746,0.758414,55.3486,0.551932755
81,0.726971,0.758119,55.3397,0.551130528
82,0.726197,0.757823,55.3308,0.550328789
83,0.725426,0.757529,55.3219,0.549531232
84,0.724656,0.757235,55.313,0.548734886
85,0.723889,0.756941,55.3041,0.547941264
86,0.723121,0.756647,55.2952,0.547147335
87,0.722356,0.756353,55.2863,0.546356128
88,0.721593,0.756061,55.2774,0.545568325
89,0.720831,0.755768,55.2685,0.544781003
90,0.720071,0.755476,55.2597,0.543996359
91,0.719312,0.755184,55.2508,0.543212913
92,0.718555,0.754892,55.2419,0.542431421
93,0.717799,0.754601,55.233,0.541651843
94,0.717046,0.75431,55.2241,0.540874968
95,0.716293,0.754019,55.2152,0.540098532
96,0.715543,0.75373,55.2063,0.539326225
97,0.714794,0.75344,55.1974,0.538554391
98,0.714046,0.75315,55.1885,0.537783745
99,0.7133,0.75286,55.1796,0.537015038
100,0.712555,0.752571,55.1707,0.536248229
101,0.711813,0.752283,55.1618,0.535484819
102,0.711071,0.751995,55.1529,0.534721837
103,0.710332,0.751707,55.1441,0.533961537
104,0.709594,0.751419,55.1352,0.533202414
